Level	Date and Time	Source	Event ID	Task Category
Error	3/31/2017 8:47:52 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=17, authorId=9, vendorId=0, vendorType=0
Error	3/31/2017 8:47:52 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=254, authorId=311, vendorId=14122, vendorType=1
Error	3/31/2017 8:47:52 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=21, authorId=311, vendorId=0, vendorType=0
Warning	3/31/2017 8:47:51 AM	Microsoft-Windows-DNS-Client	1014	(1014)	Name resolution for the name wpad timed out after none of the configured DNS servers responded.
Error	3/31/2017 8:47:44 AM	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error	3/31/2017 8:47:44 AM	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error	3/30/2017 10:46:28 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=43, authorId=9, vendorId=0, vendorType=0
Error	3/30/2017 10:46:28 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=25, authorId=9, vendorId=0, vendorType=0
Error	3/30/2017 10:46:28 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=17, authorId=9, vendorId=0, vendorType=0
Error	3/30/2017 10:46:28 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=254, authorId=311, vendorId=14122, vendorType=1
